2,0,6,68,0,0,0,0,0,0
1,0,1,24,0,0,1,0,0,0
3,0,3,45,0,0,0,0,0,0
3,0,1,15,0,0,0,0,0,0
3,0,2,39,0,0,0,0,0,0
2,0,2,11,0,0,0,0,0,0
1,0,0,23,0,0,0,0,0,0
0,0,5,41,0,1,1,0,0,0
2,0,0,18,0,0,0,0,0,0
0,0,0,17,0,0,0,0,0,0
1,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
3,,,,,,,,,
3,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
1,,,,,,,,,
6,,,,,,,,,
2,,,,,,,,,
14,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
6,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
7,,,,,,,,,
5,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
3,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
4,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
3,,,,,,,,,
1,,,,,,,,,
4,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
11,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
4,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
1,,,,,,,,,
6,,,,,,,,,
0,,,,,,,,,
6,,,,,,,,,
0,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
2,,,,,,,,,
2,,,,,,,,,
6,,,,,,,,,
2,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
2,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
4,,,,,,,,,
1,,,,,,,,,
0,,,,,,,,,
1,,,,,,,,,
1,,,,,,,,,
6,,,,,,,,,
