Articles,Jaccard Distance
China boycotts Japan hotel chain APA over Nanjing Massacre denials - CNN.com,0.5294117647058824
Betsy DeVos won't get a second hearing - CNNPolitics.com,0.5333333333333333
Ancient otter as big as a wolf discovered in China  - CNN.com,0.5384615384615384
House approves bill barring taxpayer money for abortions - CNNPolitics.com,0.5454545454545454
"Senate probe into election hacking to review possible links between Russia, campaigns - CNNPolitics.com",0.5555555555555556
"President Trump, home alone, puts out the White House welcome mat - CNNPolitics.com",0.56
Russia prepares to decriminalize some domestic violence - CNN.com,0.5625
"Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com",0.5652173913043478
Mike Pence: No contact between Trump campaign and Russia - CNNPolitics.com,0.5714285714285714
Trump suggests he would be open to lifting sanctions on Russia - CNNPolitics.com,0.5882352941176471
What we learned at Sean Spicer's first briefing - CNNPolitics.com,0.5925925925925926
Moving US Embassy to Jerusalem puts America's interests last - CNN.com,0.6
Trump's TPP withdrawal: 5 things to know - CNNPolitics.com,0.6086956521739131
Syria peace talks get off to a rocky start in Astana   - CNN.com,0.6111111111111112
Leon Panetta to Trump: CIA is 'not the appropriate place to start whining about' inauguration crowd size - CNNPolitics.com,0.6153846153846154
"In Trump's America, will Putin come first? (opinion) - CNN.com",0.6190476190476191
US orders first drone strikes under Trump - CNNPolitics.com,0.6363636363636364
Trump CIA chief hails predecessor who bashed the President - CNNPolitics.com,0.6428571428571429
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,0.6470588235294118
Mike Pence won't say if Russia should be punished for hacking - CNNPolitics.com,0.65
"Medicaid takes center stage as Democrats grill Tom Price  
 - CNNPolitics.com",0.6666666666666666
White House news conference: CNN's Reality Check Team vets the claims - CNNPolitics.com,0.68
"Trump believes millions voted illegally, WH says -- but provides no proof - CNNPolitics.com",0.6842105263157895
Lindsey Graham blasts Donald Trump after latest voter fraud claim - CNNPolitics.com,0.7058823529411765
Cheering crowds swarm Rep. John Lewis at DC airport - CNNPolitics.com,0.9230769230769231
March spurs efforts to get more women to run for office - CNNPolitics.com,1.0
