Articles,Euclidean Distance
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,67.85278181474949
Obama Pentagon chief: I did not recommend Manning commutation - CNNPolitics.com,68.47627326307996
"Schumer, Democrats try to split Trump and Hill GOP over infrastructure - CNNPolitics.com",68.92024376045111
State Dept. 'surprised' by UK backlash to Kerry speech - CNNPolitics.com,69.06518659932803
"In Trump's America, will Putin come first? (opinion) - CNN.com",71.29516112612411
Obama's post-inauguration remarks: Full text  - CNNPolitics.com,72.09715667070374
Somalia Fast Facts - CNN.com,74.57881736793632
"Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com",75.47847375245475
Mike Pence won't say if Russia should be punished for hacking - CNNPolitics.com,78.10249675906654
Examining the top contenders on Trump's Supreme Court list - CNNPolitics.com,78.5175139698144
Trump gets to work for his blue-collar base  - CNNPolitics.com,80.32434251209281
Mike Pence: No contact between Trump campaign and Russia - CNNPolitics.com,81.00617260431454
"Trump advances Keystone pipeline, DAPL with executive actions - CNNPolitics.com",84.0535543567314
Why moving the US embassy to Jerusalem is controversial - CNN.com,84.42748367682174
Edward Snowden Fast Facts - CNN.com,85.67379996241559
"Donald Trump hotel lawsuit at impasse, headed to trial - CNNPolitics.com",85.98837130682264
Trump approves hiring freeze for federal government - CNNPolitics.com,88.82567196480981
White House news conference: CNN's Reality Check Team vets the claims - CNNPolitics.com,89.14594774862175
"Medicaid takes center stage as Democrats grill Tom Price  
 - CNNPolitics.com",89.2972563968233
What we learned at Sean Spicer's first briefing - CNNPolitics.com,89.62700485902673
David Axelrod: Barack Obama's legacy can't be erased - CNN.com,90.4267659490264
Kellyanne Conway: Obamacare replacement includes Medicaid block grants - CNNPolitics.com,91.23595782365635
Senate GOP hopes Trump's OMB pick influences him on entitlements - CNNPolitics.com,92.77930803794561
President Donald Trump's thin skin - CNNPolitics.com,96.97422337920526
How Trump's views differ -- and align -- with nominees - CNNPolitics.com,98.55962662266938
John Kerry: Two-state solution in 'serious jeopardy' - CNNPolitics.com,99.37303457175895
Articles,Euclidean Distance
March spurs efforts to get more women to run for office - CNNPolitics.com,0.0
Secret Service looking at agent who suggested she wouldn't defend Trump from bullet - CNNPolitics.com,102.41093691593686
"President Trump, home alone, puts out the White House welcome mat - CNNPolitics.com",104.52750834110607
Melania Trump returns to New York - CNNPolitics.com,105.18079672639868
Lavrov says Russia keen for dialogue with Trump - CNNPolitics.com,112.44554237496477
Trump on Supreme Court pick: 'I think in my mind I know who it is' - CNNPolitics.com,113.23427043081966
Marco Rubio to vote to confirm Rex Tillerson as secretary of state - CNNPolitics.com,113.71455491712571
CIA publishes its history and nearly 13 million declassified pages of documents online - CNNPolitics.com,117.26039399558574
Explosive revelations  - CNN.com,120.37026210821342
Trump's new world disorder - CNNPolitics.com,131.36209498938422
"On the eve of Trump's inauguration, one Mississippi Delta town looks back -- and forward - CNNPolitics.com",134.54738942097688
Trump inauguration: key moments - CNNPolitics.com,139.05754204644924
"Building Trump's wall: For Texans, it's complicated - CNNPolitics.com",144.7100549374507
White House website warns of 'dangerous anti-police atmosphere' in America - CNNPolitics.com,146.76852523616907
"Obama UN rep rips Russia, rejects attack on intel agencies - CNNPolitics.com",152.3778199082793
Saudi Arabia Fast Facts - CNN.com,155.84607791022526
Eric Holder tapped to fight Trump in court - CNNPolitics.com,227.10350063352172
44 ways to judge the Obama era - CNNPolitics.com,232.91629397704233
Israel settlements: New West Bank construction approved - CNN.com,235.55254190944322
US orders first drone strikes under Trump - CNNPolitics.com,25.826343140289914
There's something amiss with this inauguration photo - CNNPolitics.com,26.057628441590765
Lewinsky cites Barron Trump incident to denounce cyberbullying - CNNPolitics.com,27.349588662354687
Ancient otter as big as a wolf discovered in China  - CNN.com,27.54995462791182
Trump's EPA pick took hands-off approach to environmental crisis that shook Oklahoma - CNNPolitics.com,270.01851788349626
Leon Panetta to Trump: CIA is 'not the appropriate place to start whining about' inauguration crowd size - CNNPolitics.com,29.427877939124322
Cards Against Humanity seeks new CEO (that sounds an awful lot like our last President) - CNNPolitics.com,30.903074280724887
Trump CIA chief hails predecessor who bashed the President - CNNPolitics.com,33.1058907144937
"CA governor to Trump: CA is not turning back. Not now, not ever. - CNNPolitics.com",33.926390907374746
Russia prepares to decriminalize some domestic violence - CNN.com,35.08560958569767
UN envoy on Putin: Murderer of journalists isn't good partner - CNNPolitics.com,35.805027579936315
Sen. Markey on Mulvaney and Price: I am a no on both - CNNPolitics.com,36.193922141707716
"Trump talks replacing Obamacare, reiterates unsubstantiated voter fraud claims - CNNPolitics.com",37.3496987939662
Trump admin tells National Park Service to halt tweets - CNNPolitics.com,37.403208418530085
Betsy DeVos won't get a second hearing - CNNPolitics.com,38.62641583165593
John Kerry: Trump's comments 'inappropriate' - CNNPolitics.com,38.71692136521188
China boycotts Japan hotel chain APA over Nanjing Massacre denials - CNN.com,38.8329756778952
Russia calls US troop buildup 'a 'threat' - CNN.com,40.85339643163099
Paul Ryan invites Trump to address Congress February 28 - CNNPolitics.com,41.291645644125154
Lindsey Graham blasts Donald Trump after latest voter fraud claim - CNNPolitics.com,41.82104733265297
Conway: Trump White House offered 'alternative facts' on crowd size - CNNPolitics.com,42.23742416388575
Syria peace talks get off to a rocky start in Astana   - CNN.com,42.46174749112429
Cheering crowds swarm Rep. John Lewis at DC airport - CNNPolitics.com,43.01162633521314
Senate committee approves Tillerson for secretary of state - CNNPolitics.com,43.61192497471305
Pompeo confirmed as CIA chief - CNNPolitics.com,43.81780460041329
"From Russia with love: A $10,000 Trump coin - CNN.com",45.09988913511872
"Senate probe into election hacking to review possible links between Russia, campaigns - CNNPolitics.com",46.010868281309364
"Obama administration prepares sanctions, retaliation For Russian Election Meddling - CNNPolitics.com",46.16275555033516
Mattis readies possible ISIS options for Trump Pentagon visit - CNNPolitics.com,46.357307945997036
WH says it would veto UN resolution recognizing Palestinian state - CNNPolitics.com,46.93612681080534
Russia extends Edward Snowden's asylum to 2020 - CNN.com,47.275786614291256
"Brian Schaffner, academic behind voter fraud research said Trump misinterpreted his data - CNNPolitics.com",47.89572005931219
"Trump believes millions voted illegally, WH says -- but provides no proof - CNNPolitics.com",49.54795656734998
Trump suggests he would be open to lifting sanctions on Russia - CNNPolitics.com,50.08991914547278
Feds still accepting applications from DREAMers under Trump - CNNPolitics.com,50.17967716117751
White House press briefing: Sean Spicer answers questions from the press - CNNPolitics.com,51.749396131742444
US investigating Flynn calls with Russian diplomat - CNNPolitics.com,52.0
CDC postpones climate conference ahead of Trump takeover - CNNPolitics.com,53.225933528685054
James Comey staying on as FBI director  - CNNPolitics.com,53.3572862878164
Trump reverses abortion policy for aid to NGOs - CNNPolitics.com,53.749418601506754
Trump to direct federal resources toward building a border wall on Wednesday - CNNPolitics.com,53.95368384086484
Trans-Pacific Partnership trade deal withdrawal Trump's first executive action Monday - CNNPolitics.com,54.120236510939236
What happened to Obama's White House website? - CNNPolitics.com,54.52522352086234
House approves bill barring taxpayer money for abortions - CNNPolitics.com,54.589376255824725
"Obama tweets final message from White House, announces new website - CNNPolitics.com",54.96362433464518
Trump White House: Day 4 - CNNPolitics.com,56.01785429664367
Maryland golf club aspires to become Obama's go-to golf spot - CNNPolitics.com,56.4889369699944
James Mattis goes where Trump won't: US-NATO bond 'unshakeable' - CNNPolitics.com,57.40209055426466
"Obama's tough dilemma on Manning, Wikileaks - CNNPolitics.com",57.436921923097515
"Abe, Obama affirm alliance in ceremony at Pearl Harbor - CNNPolitics.com",59.19459434779497
Sen. Chris Coons: Michael Flynn call with Russia 'very suspicious' - CNNPolitics.com,61.48983655857283
How (and why) Trump's first formal policy action actually happened - CNNPolitics.com,61.87891401761993
Who can sue Trump over emoluments? - CNNPolitics.com,62.67375846396959
Why is cinema a red line issue in Saudi Arabia? - CNN.com,63.41135544995076
Trump's TPP withdrawal: 5 things to know - CNNPolitics.com,65.612498809297
Dippin' Dots CEO seeks to win over WH press secretary - CNNPolitics.com,66.57326790837296
What's on the agenda for Tuesday in Washington - CNNPolitics.com,66.79071791798619
"Eastern Mosul liberated from ISIS, Iraqi PM says - CNN.com",67.30527468185537
Trump has EPA on notice - CNNPolitics.com,67.32013071882734
Senate committee raises more red flags on Tom Price - CNNPolitics.com,67.36467917239716
Moving US Embassy to Jerusalem puts America's interests last - CNN.com,67.49074010558782
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,67.85278181474949
